2026-01-22 07:21:12 | INFO     | 授权 URL: https://iflow.cn/oauth?loginMethod=phone&type=phone&redirect=http%3A%2F%2Flocalhost%3A8000%2Fapi%2Fiflow%2Fcallback&state=ZRqeA2lHmqo-p1A8wpjC6g&client_id=10009311001
2026-01-22 07:21:12 | INFO     | 回调 URL: http://localhost:8000/api/iflow/callback
2026-01-22 07:22:00 | DEBUG    | create_login_session called with server_url=http://localhost:8000
2026-01-22 07:22:00 | DEBUG    | Generated state: akBEGHiNEuLu6sk6cO-eIQ
2026-01-22 07:22:00 | INFO     | 会话数据库初始化完成: /storage/emulated/0/000CLIProxyAPI-Python/data/simplified_login_sessions.db
2026-01-22 07:22:00 | DEBUG    | 创建会话: akBEGHiNEuLu6sk6cO-eIQ
2026-01-22 07:22:00 | INFO     | 创建登录会话: akBEGHiNEuLu6sk6cO-eIQ
2026-01-22 07:22:00 | DEBUG    | Session created in SQLite and memory
2026-01-22 07:22:00 | INFO     | 创建登录会话成功: akBEGHiNEuLu6sk6cO-eIQ
2026-01-22 07:22:00 | INFO     | 授权 URL: https://iflow.cn/oauth?loginMethod=phone&type=phone&redirect=http%3A%2F%2Flocalhost%3A8000%2Fapi%2Fiflow%2Fcallback&state=akBEGHiNEuLu6sk6cO-eIQ&client_id=10009311001
2026-01-22 07:22:00 | INFO     | 回调 URL: http://localhost:8000/api/iflow/callback
2026-02-03 09:44:17 | DEBUG    | create_login_session called with server_url=http://localhost:8000
2026-02-03 09:44:17 | DEBUG    | Generated state: C4HzmerigUaGbX-6QAijwg
2026-02-03 09:44:17 | INFO     | 会话数据库初始化完成: /storage/emulated/0/000CLIProxyAPI-Python/data/simplified_login_sessions.db
2026-02-03 09:44:17 | DEBUG    | 创建会话: C4HzmerigUaGbX-6QAijwg
2026-02-03 09:44:17 | INFO     | 创建登录会话: C4HzmerigUaGbX-6QAijwg
2026-02-03 09:44:17 | DEBUG    | Session created in SQLite and memory
2026-02-03 09:44:17 | INFO     | 创建登录会话成功: C4HzmerigUaGbX-6QAijwg
2026-02-03 09:44:17 | INFO     | 授权 URL: https://iflow.cn/oauth?loginMethod=phone&type=phone&redirect=http%3A%2F%2Flocalhost%3A8000%2Fapi%2Fiflow%2Fcallback&state=C4HzmerigUaGbX-6QAijwg&client_id=10009311001
2026-02-03 09:44:17 | INFO     | 回调 URL: http://localhost:8000/api/iflow/callback
2026-02-03 09:45:09 | DEBUG    | create_login_session called with server_url=http://localhost:8000
